small cell lung carcinoma	hsa-mir-378g
drug-induced liver injury	hsa-mir-326
carotid artery diseases	hsa-mir-19b
lymphoma, extranodal nk-t-cell	hsa-mir-485
rna virus infections	hsa-mir-519b
hypertrophy, left ventricular	hsa-mir-485
pituitary adenomas	hsa-mir-106b
kidney failure, acute	hsa-mir-494
ovarian neoplasms	hsa-mir-520h
sjogren's syndrome	hsa-mir-520h
wounds and injuries	hsa-mir-26b
sjogren's syndrome	hsa-mir-516b
arrhythmias, cardiac	hsa-mir-98
keloid	hsa-mir-362
kidney diseases	hsa-mir-1285
eclampsia	hsa-mir-640
osteosarcoma 	hsa-mir-410
muscular dystrophy, duchenne	hsa-mir-663
adrenocortical carcinoma	hsa-mir-492
graft vs host disease	hsa-mir-328
carcinoma, squamous cell	hsa-mir-383
graft vs host disease	hsa-mir-600
colitis, ulcerative	hsa-mir-517a
lung diseases	hsa-mir-370
colorectal neoplasms	hsa-mir-584
adenoviridae infections	hsa-mir-140
adrenal cortex neoplasms	hsa-mir-744
scleroderma, localized	hsa-mir-1245a
leukemia, lymphoblastic, chronic	hsa-mir-374b
down syndrome	hsa-mir-190b
head and neck neoplasms	hsa-mir-30a
digestive system neoplasms	hsa-mir-205
fatty liver, alcoholic	hsa-mir-25
sars virus	hsa-mir-1293
hypertension	hsa-mir-190a
prostatic neoplasms	hsa-mir-503
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-615
obesity	hsa-mir-2861
pituitary neoplasms	hsa-mir-1297
hiv infection	hsa-mir-136
tongue neoplasms	hsa-mir-151b
irritable bowel syndrome	hsa-mir-3186
glioblastoma	hsa-mir-378a
melanoma	hsa-mir-1
myocardial infarction	hsa-mir-598
hypertrophy, left ventricular	hsa-mir-718
lupus vulgaris	hsa-mir-454
intervertebral disk	hsa-mir-425
keratoconus	hsa-mir-324
wounds and injuries	hsa-mir-362
esophagus	hsa-mir-299
hepatoblastoma	hsa-mir-525
hemangioma	hsa-mir-1260a
adenoma	hsa-mir-33b
breast neoplasms	hsa-mir-525
trophoblasts	hsa-mir-410
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-760
demyelinating diseases	hsa-let-7b
focal epithelial hyperplasia	hsa-mir-126
cystitis, interstitial	hsa-mir-4792
ependymoma	hsa-mir-433
anoxia	hsa-mir-10b
multiple endocrine neoplasia type 1	hsa-mir-455
aortic aneurysm, thoracic	hsa-mir-523
toxoplasmosis	hsa-let-7c
cystic fibrosis	hsa-mir-222
prrsv infection	hsa-mir-28
hypertrophy, left ventricular	hsa-mir-663a
papilary thyroid carcinoma	hsa-mir-1273a
lymphoma, large b-cell, diffuse	hsa-mir-1247
carcinoma, squamous cell	hsa-mir-103a
cerebral hemorrhage	hsa-mir-655
ependymoma	hsa-mir-302f
hypertrophy	hsa-mir-1245b
adenoma	hsa-mir-30c
kidney diseases	hsa-mir-584
hemangiosarcoma	hsa-mir-483
prolactinoma	hsa-mir-378g
azoospermia	hsa-mir-33a
glomerulonephritis, iga	hsa-mir-484
francisella	hsa-mir-130a
brain injuries	hsa-mir-429
multiple endocrine neoplasia type 1	hsa-mir-200
prostate neoplasms	hsa-mir-320c
hepatitis c, chronic	hsa-mir-615
sarcoma, ewing's	hsa-mir-320a
brain ischemia	hsa-mir-197
lymphoma, extranodal nk-t-cell	hsa-mir-3196
mesothelioma	hsa-mir-582
leukemia-lymphoma, adult t-cell	hsa-mir-510
pheochromocytoma	hsa-mir-448
prolactinoma	hsa-mir-375
osteosarcoma 	hsa-mir-451a
prion diseases	hsa-mir-1285
focal epithelial hyperplasia	hsa-mir-302b
granulosa cell tumor	hsa-mir-519a
amyotrophic lateral sclerosis	hsa-mir-184
autistic disorder	hsa-mir-384
hev	hsa-mir-1273c
scleroderma, systemic	hsa-mir-1181
siv infection	hsa-mir-24
cholangiocarcinoma	hsa-mir-378f
atherosclerosis	hsa-mir-338
lymphoma, primary effusion	hsa-mir-1246
hypoxia-ischemia, brain	hsa-mir-572
leukemia, acute	hsa-mir-17
mouth neoplasms	hsa-mir-522
heart diseases	hsa-mir-96
fatty liver	hsa-mir-491
chondrodysplasia punctata	hsa-mir-583
hepatitis b, chronic	hsa-mir-9
hepatitis c, chronic	hsa-mir-376a
myocardial ischemia	hsa-mir-3186
cataract	hsa-mir-520f
parkinson disease	hsa-mir-642a
cystic fibrosis	hsa-let-7c
digestive system neoplasms	hsa-mir-320c
stomach neoplasms	hsa-mir-376b
kidney failure, chronic	hsa-mir-640
atrial fibrillation	hsa-mir-544a
eczema	hsa-mir-183
chlamydia infections	hsa-mir-128
ovarian neoplasms	hsa-mir-501
neuroma, acoustic	hsa-mir-193a
siv infection	hsa-mir-19a
carcinoma, ductal, breast	hsa-mir-711
pheochromocytoma	hsa-mir-513c
aortic aneurysm, thoracic	hsa-mir-31
infertility, male	hsa-mir-596
colonic neoplasms	hsa-mir-328
leukemia, myeloid, chronic-phase	hsa-mir-520b
rectal neoplasms	hsa-mir-132
distal myopathies	hsa-mir-378f
salivary gland neoplasms	hsa-mir-330
gerstmann-straussler-scheinker disease	hsa-mir-138
esophagus	hsa-mir-382
aging	hsa-mir-519a
polycythemia vera	hsa-mir-646
adenocarcinoma	hsa-mir-758
skin neoplasms	hsa-mir-497
demyelinating diseases	hsa-mir-490
retinoblastoma	hsa-mir-298
carotid artery diseases	hsa-mir-514a
endomyocardial fibrosis	hsa-mir-149
cervical intraepithelial neoplasia	hsa-mir-124a
pulmonary fibrosis	hsa-mir-767
carcinoma, endometrioid	hsa-mir-93
biliary atresia	hsa-mir-766
trophoblasts	hsa-mir-106a
carcinoma	hsa-mir-483
choriocarcinoma	hsa-mir-519e
arthritis	hsa-mir-660
osteoarthritis	hsa-mir-18a
eye abnormalities	hsa-mir-491
myasthenia gravis	hsa-mir-1287
hepatitis b, chronic	hsa-mir-487b
scleroderma, localized	hsa-mir-224
nervous system diseases	hsa-mir-184
chondrodysplasia punctata	hsa-mir-582
arrhythmias, cardiac	hsa-mir-492
leukemia, myeloid, chronic-phase	hsa-mir-300
cervical intraepithelial neoplasia	hsa-mir-198
myocardial ischemia	hsa-mir-384
leiomyosarcoma	hsa-mir-1287
intervertebral disk	hsa-mir-495
drug-induced liver injury	hsa-mir-122
alopecia	hsa-mir-187
cardiomegaly	hsa-mir-4306
choriocarcinoma	hsa-mir-337
diabetes mellitus, type 1	hsa-mir-590
neurilemmoma	hsa-mir-3940
supranuclear palsy, progressive	hsa-mir-371
lipid metabolism disorders	hsa-mir-147b
osteoarthritis	hsa-mir-1207
hiv infection	hsa-mir-125b
myocardial infarction	hsa-mir-1273a
melanoma	hsa-mir-371a
pituitary neoplasms	hsa-mir-302f
inflammatory bowel diseases	hsa-mir-374a
carcinoma, embryonal	hsa-mir-498
breast neoplasms	hsa-mir-498
pancreatic neoplasms	hsa-mir-193a
leprosy	hsa-mir-92b
keloid	hsa-mir-20a
polycythemia vera	hsa-mir-566
liposarcoma	hsa-mir-520c
myelodysplastic syndromes	hsa-mir-203
tuberculosis, pulmonary	hsa-mir-648
cardiomyopathy, hypertrophic	hsa-mir-629
giant cell tumors	hsa-mir-193b
keratoconus	hsa-mir-431
psoriasis	hsa-mir-92a
huntington disease	hsa-mir-635
sars virus	hsa-mir-422a
infertility, male	hsa-mir-539
thyroid neoplasms	hsa-mir-1286
moyamoya disease	hsa-mir-22
fatty liver, alcoholic	hsa-mir-520g
myocardium	hsa-mir-140
leukemia, myeloid	hsa-mir-1322
azoospermia	hsa-mir-517c
kidney diseases	hsa-mir-451
testicular neoplasms	hsa-mir-625
francisella	hsa-mir-499a
erythropoiesis	hsa-mir-335
tongue neoplasms	hsa-mir-520b
hepatitis, chronic	hsa-mir-767
endothelium, vascular	hsa-mir-625
leiomyoma	hsa-mir-216a
carcinoma, ehrlich tumor	hsa-mir-1233
graves disease	hsa-mir-1258
myeloproliferative disorders	hsa-mir-3186
adenocarcinoma	hsa-mir-582
huntington disease	hsa-mir-629
vascular diseases	hsa-mir-147a
nasal polyps	hsa-mir-487b
thyroid neoplasms	hsa-mir-663b
nasal polyps	hsa-mir-451a
eye abnormalities	hsa-mir-449a
esophageal neoplasms	hsa-mir-26a
lichen planus, oral	hsa-mir-148a
gout	hsa-mir-1228
biliary atresia	hsa-mir-455
heart failure	hsa-mir-137
colitis, ulcerative	hsa-mir-452
arthritis, rheumatoid	hsa-mir-3186
precursor cell lymphoblastic leukemia-lymphoma	hsa-mir-17
lupus nephritis	hsa-mir-520h
nerve sheath neoplasms	hsa-mir-525
endometrial neoplasms	hsa-mir-370
liver failure	hsa-mir-148a
rna virus infections	hsa-mir-425
mouth neoplasms	hsa-mir-564
dyslipidemias	hsa-mir-642a
adrenocortical carcinoma	hsa-mir-4306
obesity	hsa-mir-608
gastrointestinal neoplasms	hsa-mir-10b
meningioma	hsa-mir-492
diabetic retinopathy	hsa-mir-33a
neuroblastoma	hsa-mir-642a
brain injuries	hsa-mir-367
leiomyosarcoma	hsa-mir-767
nervous system diseases	hsa-mir-611
hyperglycemia	hsa-mir-23a
acute coronary syndrome	hsa-mir-615
hypopharyngeal neoplasms	hsa-mir-516b
stomach neoplasms	hsa-mir-628
hepatitis b	hsa-mir-552
lung neoplasms	hsa-mir-518b
abortion, habitual	hsa-mir-933
anemia, sickle cell	hsa-mir-384
aortic valve insufficiency	hsa-mir-1256
brain neoplasms	hsa-mir-596
fatty liver, alcoholic	hsa-mir-449c
azoospermia	hsa-mir-23a
oligodendroglioma	hsa-mir-616
osteolysis	hsa-mir-26b
rectal neoplasms	hsa-mir-362
drug-induced liver injury	hsa-mir-22
tongue neoplasms	hsa-mir-323b
lymphoma, mantle-cell	hsa-mir-127
synapses	hsa-mir-144
vascular diseases	hsa-mir-302b
heart defects, congenital	hsa-mir-1296
psychotic disorders	hsa-mir-145
crohn disease	hsa-mir-331
osteosarcoma 	hsa-mir-1183
colon neoplasms	hsa-mir-337
leukemia, lymphocytic, chronic, b-cell	hsa-mir-598
hepatitis b, chronic	hsa-mir-197
heart defects, congenital	hsa-mir-411
cervical neoplasms	hsa-mir-146a
thyroid neoplasms	hsa-mir-30a
nevus, pigmented	hsa-mir-519d
leukoplakia, oral	hsa-let-7c
acth-secreting pituitary adenoma	hsa-mir-1181
sarcoma	hsa-mir-15a
creutzfeldt-jakob syndrome	hsa-mir-103b
neutropenia	hsa-mir-320e
glomerulonephritis, iga	hsa-mir-20a
panic disorder	hsa-mir-33b
musculoskeletal abnormalities	hsa-mir-641
osteoarthritis	hsa-mir-544b
aortic valve insufficiency	hsa-mir-612
carcinoma	hsa-mir-1275
retinal degeneration	hsa-mir-137
spinal cord injuries	hsa-mir-23a
lymphoma, large b-cell, diffuse	hsa-mir-485
hypertension	hsa-mir-545
adrenocortical carcinoma	hsa-mir-384
autoimmune diseases	hsa-mir-9
fibrosis	hsa-mir-152
gout	hsa-mir-662
focal epithelial hyperplasia	hsa-mir-200a
long qt syndrome	hsa-mir-129
fatty liver	hsa-mir-454
lung neoplasms	hsa-mir-661
retinal degeneration	hsa-mir-433
erythropoiesis	hsa-mir-18a
mastocytosis, systemic	hsa-mir-144
hemangiosarcoma	hsa-mir-660
keratoconus	hsa-mir-593
colonic neoplasms	hsa-mir-488
inflammation	hsa-mir-935
hyperlipidemias	hsa-mir-22
amyloidosis	hsa-mir-330
kidney diseases	hsa-mir-133a
nerve sheath neoplasms	hsa-mir-433
papilary thyroid carcinoma	hsa-mir-155
carcinoma, renal cell	hsa-mir-1273c
hypertension	hsa-mir-599
down syndrome	hsa-mir-659
musculoskeletal abnormalities	hsa-mir-572
lymphoma, large-cell, anaplastic	hsa-mir-192
carcinoma, oral	hsa-mir-483
leukemia-lymphoma, adult t-cell	hsa-mir-1181
retinal neovascularization	hsa-mir-483
antiphospholipid syndrome	hsa-mir-1256
lichen planus, oral	hsa-mir-181
hepatitis b	hsa-mir-632
cervical intraepithelial neoplasia	hsa-mir-1179
kidney failure, acute	hsa-mir-374b
angina, unstable	hsa-mir-718
sarcoma, kaposi	hsa-mir-421
hearing loss	hsa-let-7e
behcet syndrome	hsa-mir-664
fatty liver, non-alcoholic	hsa-mir-148a
tongue neoplasms	hsa-mir-421
osteoporosis	hsa-mir-527
fatty liver	hsa-mir-1
hepatitis	hsa-mir-210
colorectal neoplasms	hsa-mir-4257
central nervous system diseases	hsa-mir-181c
scleroderma, localized	hsa-mir-450b
fatty liver, alcoholic	hsa-mir-1249
cervical intraepithelial neoplasia	hsa-mir-450a
amyloidosis	hsa-mir-183
eosinophilic esophagitis	hsa-mir-517a
child development disorders, pervasive	hsa-mir-432
cryptosporidium	hsa-mir-647
myeloproliferative disorders	hsa-mir-574
myocardial infarction	hsa-mir-520d
neoplasms	hsa-mir-1827
muscular dystrophies	hsa-mir-708
retinal degeneration	hsa-mir-124
leukemia, acute	hsa-mir-431
moyamoya disease	hsa-mir-99b
cerebral ischemia	hsa-mir-663a
carcinoma	hsa-mir-516b
sezary syndrome	hsa-mir-423
colon neoplasms	hsa-mir-512
dyslipidemias	hsa-mir-432
nasal polyps	hsa-mir-382
polycythemia vera	hsa-mir-423
esophageal neoplasms	hsa-mir-1258
kidney failure, chronic	hsa-mir-29a
atherosclerosis	hsa-mir-532
small cell lung carcinoma	hsa-let-7i
diabetic retinopathy	hsa-mir-513a
dyspepsia	hsa-mir-346
liver neoplasms	hsa-mir-658
hypertrophy	hsa-mir-513c
acth-secreting pituitary adenoma	hsa-mir-517c
chlamydia infections	hsa-mir-624
neoplasms, squamous cell	hsa-mir-1322
central nervous system diseases	hsa-mir-765
diabetic retinopathy	hsa-mir-95
rhabdomyosarcoma	hsa-mir-544b
ependymoma	hsa-mir-143
liposarcoma	hsa-mir-617
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-26a
adrenocortical adenoma	hsa-mir-19a
burkitt lymphoma	hsa-mir-219
vascular diseases	hsa-mir-1258
encephalomyelitis, autoimmune, experimental	hsa-mir-1224
demyelinating diseases	hsa-mir-219
hepatitis c, chronic	hsa-mir-9
vascular diseases	hsa-mir-520d
neoplasms, germ cell and embryonal	hsa-mir-217
graft vs host disease	hsa-mir-196b
oligodendroglioma	hsa-mir-663b
inflammatory bowel diseases	hsa-mir-765
eosinophilic esophagitis	hsa-mir-127
ovarian neoplasms	hsa-mir-760
rna virus infections	hsa-mir-454
liver diseases	hsa-mir-1285
fatty liver	hsa-mir-1915
neoplasms, squamous cell	hsa-mir-720
moyamoya disease	hsa-mir-183
cryptosporidium	hsa-mir-183
adenocarcinoma	hsa-mir-1231
aortic aneurysm, thoracic	hsa-let-7f
pemphigus, benign familial	hsa-mir-320e
leukoplakia, oral	hsa-mir-518c
toxoplasma	hsa-mir-19b
lymphoproliferative disorders	hsa-mir-147a
nervous system diseases	hsa-mir-625
schistosomiasis	hsa-mir-451b
barrett esophagus	hsa-mir-495
ischemic preconditioning	hsa-mir-219
aortic aneurysm, thoracic	hsa-mir-614
lymphoma, primary effusion	hsa-mir-10a
drug-induced liver injury	hsa-mir-744
gastric neoplasms	hsa-mir-548d
muscular dystrophy, facioscapulohumeral	hsa-mir-197
huntington disease	hsa-mir-127
diabetic retinopathy	hsa-mir-3130
distal myopathies	hsa-mir-494
ovary syndrome	hsa-mir-205
hearing loss	hsa-mir-224
odontogenic tumors	hsa-mir-92a
multiple endocrine neoplasia type 1	hsa-mir-92a
leukemia, myeloid, acute	hsa-mir-512
liver diseases	hsa-mir-4257
cystitis, interstitial	hsa-mir-422a
wounds and injuries	hsa-mir-99a
diabetes mellitus	hsa-mir-411
nasopharyngeal neoplasms	hsa-mir-520g
chondrodysplasia punctata	hsa-mir-378a
rhinitis, allergic, perennial	hsa-mir-154
myocardial reperfusion injury	hsa-mir-208a
waldenstrom macroglobulinemia	hsa-mir-3196
irritable bowel syndrome	hsa-mir-10b
hepatitis c, chronic	hsa-mir-302c
hearing loss	hsa-mir-1323
hepatitis b	hsa-mir-3163
focal epithelial hyperplasia	hsa-mir-296
obesity	hsa-mir-338
stomach neoplasms	hsa-mir-410
trophoblasts	hsa-mir-215
hemangiosarcoma	hsa-let-7g
myeloproliferative disorders	hsa-mir-29c
retinal degeneration	hsa-mir-760
breast neoplasms	hsa-mir-421
multiple endocrine neoplasia type 1	hsa-mir-612
huntington disease	hsa-let-7e
leukemia, biphenotypic, acute	hsa-mir-378b
myocardium	hsa-mir-1
leukemia, myeloid	hsa-mir-193a
pulmonary embolism	hsa-mir-345
radiation injuries	hsa-mir-662
trophoblasts	hsa-mir-1179
periodontitis	hsa-mir-1234
hpv infection	hsa-mir-708
anemia, sickle cell	hsa-mir-603
gastrointestinal neoplasms	hsa-mir-146a
barrett esophagus	hsa-mir-505
medulloblastoma	hsa-mir-338
sarcoma, ewing	hsa-mir-489
aortic valve stenosis	hsa-mir-664
dyslipidemias	hsa-mir-29a
periodontal diseases	hsa-mir-146b
neoplasms, squamous cell	hsa-mir-371
osteoporosis	hsa-mir-514a
vascular diseases	hsa-mir-194
metabolic diseases	hsa-mir-100
leukemia, lymphoblastic, acute	hsa-mir-511
uterine cervical neoplasms	hsa-mir-212
arthritis, rheumatoid	hsa-mir-92b
pulmonary embolism	hsa-mir-933
glioma	hsa-mir-769
down syndrome	hsa-mir-139
eczema	hsa-mir-1303
infertility, male	hsa-mir-182
leukemia, acute	hsa-mir-615
aging	hsa-mir-411
rhabdomyosarcoma	hsa-mir-1301
irritable bowel syndrome	hsa-mir-518b
osteosarcoma 	hsa-mir-571
adenoma	hsa-mir-134
carcinoma, oral	hsa-mir-516a
leukemia, promyelocytic, acute	hsa-mir-10b
nerve sheath neoplasms	hsa-mir-592
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-298
ependymoma	hsa-mir-140
prrsv infection	hsa-mir-516b
periodontal diseases	hsa-mir-500b
metabolic diseases	hsa-mir-668
muscular dystrophies	hsa-mir-96
stomach diseases	hsa-mir-208b
carotid artery diseases	hsa-mir-378c
colonic neoplasms	hsa-mir-381
psychotic disorders	hsa-mir-9
patau syndrome	hsa-mir-320d
drug-induced liver injury	hsa-mir-486
endomyocardial fibrosis	hsa-mir-1233
hepatitis b	hsa-mir-3151
lymphoma, mantle-cell	hsa-mir-1256
rhabdomyosarcoma	hsa-mir-1322
osteosarcoma	hsa-mir-1266
uterine cervical neoplasms	hsa-mir-222
cryptosporidium	hsa-mir-378e
carcinoma, ductal, breast	hsa-mir-154
endometrial neoplasms	hsa-mir-187
dementia	hsa-mir-324
autoimmune diseases	hsa-mir-637
pheochromocytoma	hsa-mir-506
leukemia, myeloid	hsa-mir-590
long qt syndrome	hsa-mir-193a
aids dementia complex	hsa-mir-193b
neuroblastoma	hsa-mir-450b
cystic fibrosis	hsa-mir-518e
myocardium	hsa-mir-526a
heart failure	hsa-mir-96
uterine cervical neoplasms	hsa-mir-1233
stomach neoplasms	hsa-mir-615
psychotic disorders	hsa-mir-1245a
atrial fibrillation	hsa-mir-4306
vitiligo	hsa-mir-101
rectal neoplasms	hsa-mir-519a
muscular disorders, atrophic	hsa-mir-153
leukoplakia, oral	hsa-mir-346
prostatic neoplasms	hsa-mir-152
neoplasms	hsa-mir-521
hypoxia-ischemia, brain	hsa-mir-181a
myopia	hsa-mir-320a
hemangioma	hsa-mir-449b
nephrosclerosis	hsa-mir-760
cholesteatoma	hsa-mir-499a
leukemia, b-cell	hsa-mir-190a
cardiomyopathy, hypertrophic	hsa-mir-4792
lichen planus, oral	hsa-mir-208b
rhabdomyosarcoma	hsa-mir-214
alopecia	hsa-mir-302c
hcmv infection	hsa-mir-600
abortion, habitual	hsa-mir-548c
bladder neoplasms	hsa-mir-659
sjogren's syndrome	hsa-mir-539
vascular diseases	hsa-mir-33a
vascular calcification	hsa-mir-571
multiple sclerosis	hsa-let-7a
myocardial infarction	hsa-mir-151
pulmonary embolism	hsa-mir-1234
myocardial reperfusion injury	hsa-mir-608
tourette syndrome	hsa-mir-127
hodgkin disease	hsa-mir-922
waldenstrom macroglobulinemia	hsa-mir-325
adrenocortical carcinoma	hsa-mir-520b
testicular neoplasms	hsa-mir-519e
creutzfeldt-jakob syndrome	hsa-mir-1202
gerstmann-straussler-scheinker disease	hsa-mir-641
stroke	hsa-mir-933
hiv	hsa-mir-1297
moyamoya disease	hsa-mir-302a
endometriosis	hsa-mir-652
odontogenic tumors	hsa-mir-1469
heart failure	hsa-mir-627
scleroderma, systemic	hsa-mir-18a
anxiety disorders	hsa-mir-384
hypoxia-ischemia, brain	hsa-mir-192
prrsv infection	hsa-mir-302d
carcinoma, ehrlich tumor	hsa-mir-615
fibrosarcoma	hsa-mir-557
liposarcoma	hsa-mir-1180
carcinoma, neuroendocrine	hsa-mir-519b
siv infection	hsa-mir-320a
pulmonary embolism	hsa-mir-508
brain ischemia	hsa-mir-548d
myopia	hsa-mir-221
graft vs host disease	hsa-mir-516b
endomyocardial fibrosis	hsa-mir-583
eye abnormalities	hsa-mir-640
leukemia, promyelocytic, acute	hsa-mir-339
lymphoma	hsa-mir-183
diabetes mellitus	hsa-mir-448
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-589
schizophrenia	hsa-mir-379
myocardial reperfusion injury	hsa-mir-503
patau syndrome	hsa-mir-499a
chondrodysplasia punctata	hsa-mir-449c
aging	hsa-mir-190b
focal epithelial hyperplasia	hsa-mir-516a
psychotic disorders	hsa-mir-208a
pituitary neoplasms	hsa-mir-32
colonic neoplasms	hsa-mir-377
carcinoma, ehrlich tumor	hsa-mir-146b
hiv infections	hsa-mir-193b
rectal neoplasms	hsa-mir-378i
brain injuries	hsa-mir-548d
scleroderma, localized	hsa-mir-218
abortion, habitual	hsa-mir-129
fatty liver, alcoholic	hsa-mir-451
irritable bowel syndrome	hsa-mir-451b
head and neck neoplasms	hsa-mir-30c
carcinoma, neuroendocrine	hsa-mir-3196
thyroid neoplasms	hsa-mir-552
intellectual disability	hsa-mir-9
sepsis	hsa-mir-520a
renal insufficiency	hsa-mir-511
lupus erythematosus, systemic	hsa-mir-602
cocaine-related disorders	hsa-mir-19b
muscular disorders, atrophic	hsa-mir-450b
waldenstrom macroglobulinemia	hsa-mir-30c
lymphoma, primary effusion	hsa-mir-191
cystitis, interstitial	hsa-mir-1271
retinal degeneration	hsa-mir-520f
bladder neoplasms	hsa-mir-506
schistosomiasis	hsa-mir-3151
alopecia	hsa-mir-598
hiv	hsa-mir-191
kidney neoplasms	hsa-mir-552
lymphoma, primary effusion	hsa-mir-455
salivary gland neoplasms	hsa-mir-20a
supranuclear palsy, progressive	hsa-mir-216b
medulloblastoma	hsa-mir-30b
kidney diseases	hsa-mir-424
stomach diseases	hsa-mir-648
mesothelioma	hsa-mir-181b
myelodysplastic syndromes	hsa-mir-1273c
antiphospholipid syndrome	hsa-mir-378i
anemia, sickle cell	hsa-mir-22
down syndrome	hsa-mir-27b
gerstmann-straussler-scheinker disease	hsa-mir-20b
aortic valve insufficiency	hsa-mir-1260a
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-1224
drug-induced liver injury	hsa-mir-212
hepatitis c	hsa-mir-648
adenoviridae infections	hsa-mir-302d
brain injury	hsa-mir-451a
osteosarcoma 	hsa-mir-589
prion diseases	hsa-mir-24
intellectual disability	hsa-mir-452
lymphoma, t-cell	hsa-mir-148a
alzheimer disease	hsa-mir-181a
behcet syndrome	hsa-mir-1179
anemia, sickle cell	hsa-mir-1296
graves disease	hsa-mir-16
rhinitis, allergic, perennial	hsa-mir-202
hpv infection	hsa-mir-614
nerve sheath neoplasms	hsa-mir-765
leukoplakia, oral	hsa-let-7g
carcinoma, ehrlich tumor	hsa-mir-33b
sarcoma, ewing's	hsa-mir-92
sarcoma, synovial	hsa-mir-2110
medulloblastoma	hsa-mir-614
cerebral hemorrhage	hsa-mir-340
aortic aneurysm, abdominal	hsa-mir-217
schizophrenia	hsa-mir-655
siv infection	hsa-mir-873
periodontitis	hsa-mir-518b
leukemia, b-cell	hsa-mir-301a
arthritis, psoriatic	hsa-mir-664
hypoxia-ischemia, brain	hsa-mir-1297
intracranial aneurysm	hsa-mir-511
hev	hsa-mir-487b
stomach neoplasms	hsa-mir-647
aortic aneurysm, thoracic	hsa-mir-589
distal myopathies	hsa-mir-198
endometrial neoplasms	hsa-mir-575
leukemia, myeloid, acute	hsa-mir-148a
tongue neoplasms	hsa-mir-363
autistic disorder	hsa-mir-365a
sjogren's syndrome	hsa-mir-642b
diabetes complications	hsa-mir-532
hpv infection	hsa-mir-365b
pituitary adenomas	hsa-mir-381
myocardial reperfusion injury	hsa-mir-449c
myotonic dystrophy	hsa-mir-593
lymphoma, primary effusion	hsa-mir-873
cystitis, interstitial	hsa-mir-1273c
prion diseases	hsa-mir-521
marek disease	hsa-mir-202
vitiligo	hsa-mir-323b
antiphospholipid syndrome	hsa-mir-2355
aortic valve insufficiency	hsa-mir-454
leiomyosarcoma	hsa-mir-642b
hiv-1	hsa-mir-590
tongue neoplasms	hsa-mir-331
hand, foot and mouth disease	hsa-mir-497
musculoskeletal abnormalities	hsa-mir-223
muscular dystrophies	hsa-mir-302c
infertility, male	hsa-mir-190b
colitis, ulcerative	hsa-mir-224
hepatoblastoma	hsa-mir-659
influenza, human	hsa-mir-190b
nerve sheath neoplasms	hsa-mir-514a
colon neoplasms	hsa-mir-325
neuroblastoma	hsa-mir-499b
mastocytosis, systemic	hsa-mir-31
acute lung injury	hsa-mir-206
melanoma	hsa-mir-32
neoplasms, glandular and epithelial	hsa-mir-23b
parkinson disease	hsa-mir-518e
nerve sheath neoplasms	hsa-mir-718
down syndrome	hsa-mir-636
multiple myeloma	hsa-mir-1275
esophageal neoplasms	hsa-mir-572
hiv-1	hsa-mir-567
supranuclear palsy, progressive	hsa-mir-487b
cerebral infarction	hsa-mir-27b
toxoplasma	hsa-mir-185
carcinoma, hepatocellular	hsa-mir-490
osteosarcoma	hsa-mir-769
retinoblastoma	hsa-mir-520b
myopia	hsa-mir-608
leukemia, myeloid	hsa-mir-203
graft vs host disease	hsa-mir-26a
angina, unstable	hsa-mir-615
rhabdomyosarcoma	hsa-mir-2355
cataract	hsa-mir-619
antiphospholipid syndrome	hsa-mir-511
gerstmann-straussler-scheinker disease	hsa-mir-147a
lipid metabolism disorders	hsa-mir-503
lymphoma	hsa-mir-520h
hepatitis, chronic	hsa-mir-367
cervical intraepithelial neoplasia	hsa-mir-452
gastritis, atrophic	hsa-mir-564
adrenocortical adenoma	hsa-mir-450b
fatty liver, non-alcoholic	hsa-mir-624
cardiomegaly	hsa-mir-320a
neoplasms, glandular and epithelial	hsa-mir-508
toxoplasma	hsa-mir-99b
cystic fibrosis	hsa-mir-484
helplessness, learned	hsa-mir-1299
siv infection	hsa-mir-633
burkitt lymphoma	hsa-mir-548b
hepatoblastoma	hsa-mir-663b
panic disorder	hsa-mir-431
leprosy	hsa-let-7f
muscular dystrophy, duchenne	hsa-mir-378b
wounds and injuries	hsa-mir-141
precursor cell lymphoblastic leukemia-lymphoma	hsa-mir-144
prrsv infection	hsa-mir-1471
dyspepsia	hsa-mir-718
mouth neoplasms	hsa-mir-625
graft vs host disease	hsa-mir-525
kidney neoplasms	hsa-mir-206
huntington disease	hsa-mir-135b
myocardium	hsa-mir-362
fibroblasts	hsa-mir-148b
lung neoplasms	hsa-mir-504
cardiomyopathy, hypertrophic	hsa-mir-491
aortic aneurysm, abdominal	hsa-mir-339
lymphoma, mantle-cell	hsa-mir-450b
diabetes complications	hsa-mir-1179
intervertebral disk	hsa-mir-378a
carcinoma	hsa-mir-662
fanconi anemia	hsa-mir-217
esophageal neoplasms	hsa-mir-4792
prostatic neoplasms	hsa-mir-449c
lymphoma, large b-cell, diffuse	hsa-mir-183
neuroma, acoustic	hsa-mir-342
hiv infection	hsa-mir-1322
sarcoma, ewing	hsa-mir-375
